,Open,High,Low,Close,Adj Close,Volume
2015-08-28,105.08,106.0,104.85,105.62,97.8943882242715,49919628.0
2015-08-31,105.03,105.61,104.05,104.31,96.6802086316394,39549380.0
2015-09-01,101.68,103.29,100.63,101.05,93.6586624698223,73155538.0
2015-09-02,102.89,103.92,101.7,103.9,96.3001982247851,43963563.0
2015-09-03,104.31,105.02,103.1,103.39,95.8275023528444,45131794.0
2015-09-04,101.97,102.845,101.59,102.16,94.6874711322815,49379643.0
2015-09-08,104.12,105.165,103.69,105.04,97.3568125267703,37343527.0
2015-09-09,106.28,106.31,103.59,103.86,96.2631240387506,47146743.0
2015-09-10,103.74,105.68,103.62,104.99,97.310469794227,47686714.0
2015-09-11,104.51,105.57,104.21,105.57,97.8480454917283,29106088.0
2015-09-14,105.96,105.98,104.85,105.25,97.5514520034517,19718804.0
2015-09-15,105.5,106.82,105.11,106.49,98.7007517705233,30020216.0
2015-09-16,106.51,107.19,106.14,107.09,99.2568645610418,31329146.0
2015-09-17,106.98,108.725,106.64,107.13,99.2939387470763,56139806.0
2015-09-18,105.23,106.6,105.17,105.35,97.8851382148558,48383995.0
2015-09-21,105.93,106.55,104.73,105.68,98.1917551641762,35772624.0
2015-09-22,104.06,104.4225,103.13,104.1,96.723710376521,47359654.0
2015-09-23,104.38,104.66,103.64,104.18,96.7980417581745,21775134.0
2015-09-24,103.17,104.19,102.27,103.8,96.4449676953207,38284331.0
2015-09-25,104.91,105.01,102.28,102.92,95.627322497133,44700006.0
2015-09-28,102.48,102.55,99.69,99.98,92.8956442213696,42914867.0
2015-09-29,100.24,101.26,98.75,99.47,92.421781663329,49315527.0
2015-09-30,100.89,101.87,100.5,101.74,94.530934617745,40236970.0
2015-10-01,101.94,102.23,100.59,102.22,94.9769229076655,39339134.0
2015-10-02,100.8,104.01,100.48,104.01,96.640087572161,59370859.0
2015-10-05,104.78,105.78,104.55,105.5,98.024509555456,32853533.0
2015-10-06,105.25,105.6,104.18,105.0,97.5599384201221,33051534.0
2015-10-07,105.66,105.86,104.29,105.63,98.1452980506428,37389334.0
2015-10-08,105.23,106.23,104.21,106.05,98.5355378043233,50188873.0
2015-10-09,106.1,106.73,105.81,106.53,98.9815260942439,23916227.0
2015-10-12,106.73,106.9899,106.35,106.79,99.2231030846175,16161955.0
2015-10-13,106.18,107.26,106.0,106.1,98.5819949178567,26999613.0
2015-10-14,106.1,106.63,105.49,105.93,98.4240407318432,30902637.0
2015-10-15,106.32,107.675,106.18,107.67,100.040748282805,38393838.0
2015-10-16,107.9,108.18,107.3794,108.12,100.458862304606,27091100.0
2015-10-19,107.98,108.81,107.74,108.74,101.03493051242,23776270.0
2015-10-20,108.545,108.78,107.81,108.18,100.514610840846,23404691.0
2015-10-21,108.73,108.84,107.48,107.52,99.901376942205,30195241.0
2015-10-22,108.48,109.8,108.171,109.71,101.936198514968,42778702.0
2015-10-23,112.66,113.24,112.07,112.78,104.788665285918,53170910.0
2015-10-26,112.7,113.07,112.27,112.85,104.853705244865,25918004.0
2015-10-27,112.55,113.24,112.52,113.08,105.067407967118,31390511.0
2015-10-28,113.25,114.02,112.34,114.02,105.940801701546,42221867.0
2015-10-29,113.5,114.03,113.38,113.84,105.773556092826,24913340.0
2015-10-30,113.89,114.08,113.3,113.33,105.299693534785,27199231.0
2015-11-02,113.63,114.745,113.39,114.61,106.48899564124,22176916.0
2015-11-03,114.38,115.42,114.21,115.01,106.860652549507,20418387.0
2015-11-04,115.39,115.47,114.54,115.02,106.869943972214,28633048.0
2015-11-05,115.12,115.395,114.11,114.71,106.581909868307,25004080.0
2015-11-06,114.49,114.92,113.76,114.79,106.65624124996,29924901.0
2015-11-09,114.36,114.51,112.865,113.57,105.522687679745,33479755.0
2015-11-10,112.97,113.39,112.63,113.28,105.253236421252,35452127.0
2015-11-11,113.59,114.14,112.95,113.14,105.123156503358,22748808.0
2015-11-12,112.65,113.23,111.96,112.04,104.101100005624,31196876.0
2015-11-13,111.57,111.69,109.78,109.84,102.056987010154,52836036.0
2015-11-16,109.74,111.44,109.48,111.42,103.52503179781,33980633.0
2015-11-17,111.61,112.29,111.2099,111.49,103.590071756756,30488641.0
2015-11-18,111.94,113.74,111.83,113.63,105.578436215985,32966463.0
2015-11-19,113.68,114.23,113.49,113.71,105.652767597639,26188119.0
2015-11-20,114.24,114.57,114.14,114.48,106.368207146053,22727591.0
2015-11-23,114.53,114.94,113.66,114.15,106.061590196733,20696175.0
2015-11-24,113.42,114.32,112.8377,114.05,105.968675969666,26374412.0
2015-11-25,114.19,114.36,113.91,114.15,106.061590196733,14159935.0
2015-11-27,114.395,114.541,113.92,114.31,106.21025296004,8827991.0
2015-11-30,114.6,114.65,113.65,114.02,105.940801701546,25041649.0
2015-12-01,114.475,115.16,114.34,115.16,107.000023890107,28639445.0
2015-12-02,115.23,115.75,114.28,114.45,106.340332877933,22395483.0
2015-12-03,114.76,114.96,111.8432,112.51,104.537796872838,42754345.0
2015-12-04,112.84,115.33,112.62,115.14,106.981441044694,40037322.0
2015-12-07,115.22,115.29,114.07,114.62,106.498287063947,25892101.0
2015-12-08,113.44,114.995,113.38,114.63,106.507578486653,30792648.0
2015-12-09,114.11,114.76,112.2,112.89,104.890870935691,48509199.0
2015-12-10,113.15,114.16,112.811,113.4,105.364733493732,30154621.0
2015-12-11,112.09,112.39,110.72,110.79,102.939672167289,56022221.0
2015-12-14,110.98,111.68,109.38,111.63,103.72015167465,53098514.0
2015-12-15,112.6,113.28,112.17,112.31,104.351968418704,48428014.0
2015-12-16,113.07,114.17,111.89,113.98,105.903636010719,44944106.0
2015-12-17,114.46,114.48,112.3,112.32,104.361259841411,45668795.0
2015-12-18,111.58,111.88,109.83,109.83,102.365768860965,53746061.0
2015-12-21,110.87,111.07,110.05,111.05,103.502855613313,26432807.0
2015-12-22,111.65,111.94,111.05,111.78,104.183243588079,26540310.0
2015-12-23,112.34,112.69,112.16,112.61,104.956835395004,25656928.0
2015-12-24,112.57,112.9,112.54,112.59,104.938194628572,11480244.0
2015-12-28,112.32,112.55,111.51,112.53,104.882272329277,19183637.0
2015-12-29,113.215,114.545,113.13,114.3,106.531980158503,27725673.0
2015-12-30,114.16,114.24,113.25,113.27,105.571980687258,19520081.0
2015-12-31,112.87,113.08,111.84,111.86,104.257806653807,29886849.0
2016-01-04,109.43,109.6,108.12,109.5,102.058196214839,50807643.0
2016-01-05,110.04,110.18,108.8,109.31,101.881108933735,38795182.0
2016-01-06,107.43,108.89,107.41,108.26,100.902468696059,41891091.0
2016-01-07,105.96,107.29,104.81,104.87,97.7428587858458,61386300.0
2016-01-08,105.67,106.29,103.9,104.01,96.9413058292726,69344012.0
2016-01-11,104.79,105.06,102.73,104.33,97.2395580921836,50024094.0
2016-01-12,105.31,106.08,104.08,105.54,98.3673244613156,46734241.0
2016-01-13,106.0,106.23,101.74,101.9,94.9747049707036,69870673.0
2016-01-14,102.3,104.98,100.67,104.07,96.9972281285684,78445735.0
2016-01-15,100.57,101.94,99.51,100.84,93.9867443498111,91443918.0
2016-01-19,102.2,102.37,99.88,101.06,94.1917927805624,56563845.0
2016-01-20,99.48,101.83,97.25,100.75,93.9028609008674,86674981.0
2016-01-21,101.19,102.349,99.82,100.85,93.9960647330271,61660101.0
2016-01-22,102.84,103.81,102.5305,103.77,96.7176166320894,42229803.0
2016-01-25,103.46,103.99,102.14,102.23,95.2822776168305,38881485.0
